product_name,store_name,product_url,image_url,category,color,fit,material,style,price_egp,notes
Cupid white shirt,phantom_egy,https://phantomegy.com/products/cupid-white-shirt?variant=46504031453336,http://phantomegy.com/cdn/shop/files/FEE0C4CE-48F6-4368-BCD0-6834A4B9774F.jpg?v=1781204318,unknown,unknown,unknown,unknown,streetwear,,Imported from product link
Black Camo 001,phantom_egy,https://phantomegy.com/products/black-camo-001?variant=49157213225112,http://phantomegy.com/cdn/shop/files/F8CC0892-B310-41FE-8D4A-EE2C662EA746.jpg?v=1780356464,unknown,unknown,unknown,unknown,streetwear,,Imported from product link
Black yeat polo,phantom_egy,https://phantomegy.com/products/black-yeat-polo?variant=47062049554584,http://phantomegy.com/cdn/shop/files/6B3BA7EB-8D34-4AAF-929B-B3CE67BCF3EF.jpg?v=1781204318,unknown,unknown,unknown,unknown,streetwear,,Imported from product link
Jersey radiant’86,aligan,https://aligan.online/products/jersey-radiant-86?variant=48281188171998,http://aligan.online/cdn/shop/files/DB370FBE-492B-4594-ADB0-A05AB32FF714.jpg?v=1779670422,unknown,unknown,unknown,unknown,streetwear,,Imported from product link
Off-Shoulder Black Mid-Calf Dress,rafeya_fashion,https://rafeyafashion.com/products/off-shoulder-black-mid-calf-dress-dec25?variant=44337817976902,https://rafeyafashion.com/cdn/shop/files/65155186-CC8A-46B4-B61F-7B5F5E067223_grande.jpg?v=1766347272,unknown,unknown,unknown,unknown,elegant,1600.0,Imported from product link
Maroon Luxe Wrap Top,rafeya_fashion,https://rafeyafashion.com/products/maroon-luxe-wrap-top-dec25?variant=44337824071750,https://rafeyafashion.com/cdn/shop/files/maroon-luxe-wrap-top-dec25-img1_grande.jpg?v=1765518069,unknown,unknown,unknown,unknown,elegant,1300.0,Imported from product link
Black EXTRA Sparkle Full Set,nh_designs,https://nhdesignss.com/product/black-extra-sparkle-full-set/,https://nhdesignss.com/wp-content/uploads/2025/03/DSC08732-scaled.jpg,unknown,unknown,unknown,unknown,elegant,,Imported from product link
Ivory Grace Satin Flow Set,kenzzy,https://www.kenzzy.co/products/ivory-grace-satin-flow-set?variant=51916458885414,https://www.kenzzy.co/cdn/shop/files/1768505281458-019bc320-8c88-775c-8642-1f1e311536af.png?v=1768505881&width=1792,unknown,unknown,unknown,unknown,elegant,1600.0,Imported from product link
soiree set - Black,kenzzy,https://www.kenzzy.co/products/black-set?variant=49720279269670,https://www.kenzzy.co/cdn/shop/files/undefined_Fashion_studio_photo_4.png?v=1762975650&width=609,unknown,unknown,unknown,unknown,elegant,1450.0,Imported from product link
Champagne Drape One-Shoulder Soirée Dress,rafeya_fashion,https://rafeyafashion.com/collections/casual-winter-26/products/champagne-drape-one-shoulder-soire-dress-sdec25?variant=44394645553222,https://rafeyafashion.com/cdn/shop/files/champagne-drape-one-shoulder-soire-dress-sdec25-img1_grande.jpg?v=1767135370,unknown,unknown,unknown,unknown,elegant,4500.0,Imported from product link
Side Slit long blouse - Black,aligan,https://aligan.online/products/side-slit-long-blouse-black?variant=47980364202206,http://aligan.online/cdn/shop/files/674FE769-57B8-4881-82A2-56FC6E4C7DBB.jpg?v=1775319468,unknown,unknown,unknown,unknown,elegant,,Imported from product link
Kandaka T-shirt,balance_249,https://balancestudios.myshopify.com/products/kandakaoversizedt-shirt,http://balancestudios.myshopify.com/cdn/shop/files/01D94759-2897-48D1-95DC-29A805B9D419.png?v=1780945488,unknown,unknown,unknown,unknown,casual,,Imported from product link
Snatching chemise,nh_designs,https://nhdesignss.com/product/snatching-chemise-2/,https://nhdesignss.com/wp-content/uploads/2025/06/DSC07278-scaled.jpg,unknown,unknown,unknown,unknown,casual,,Imported from product link
Core Terry Zip-Up,blaze_wear,https://www.blaze-eg.com/products/core-terry-zip-up?variant=47595542479040,http://www.blaze-eg.com/cdn/shop/files/134_49be9cd1-8b64-4538-a89a-f84513a819df.png?v=1767800247,unknown,unknown,unknown,unknown,sporty,,Imported from product link
Blaze Wrap Long Sleeve Top,blaze_wear,https://www.blaze-eg.com/products/wrap-long-sleeve-top?variant=46513065459904,http://www.blaze-eg.com/cdn/shop/files/189_8b23d02a-dbfe-42f3-bbc8-f824ae087476.png?v=1771768022,unknown,unknown,unknown,unknown,sporty,,Imported from product link
Blaze Prime Hip Cover,blaze_wear,https://www.blaze-eg.com/products/core-hip-cover?variant=46734662926528,http://www.blaze-eg.com/cdn/shop/files/362.png?v=1757413861,unknown,unknown,unknown,unknown,sporty,,Imported from product link
High Neck tracksuit - black,aligan,https://aligan.online/products/high-neck-tracksuit?variant=47980336840926,http://aligan.online/cdn/shop/files/DSC003129.jpg?v=1773378639,unknown,unknown,unknown,unknown,sporty,,Imported from product link
High Neck tracksuit - dark sea green,aligan,https://aligan.online/products/high-neck-tracksuit-1?variant=47980340183262,http://aligan.online/cdn/shop/files/DSC003144.jpg?v=1773378772,unknown,unknown,unknown,unknown,sporty,,Imported from product link
