product_name,store_name,product_url,image_url,category,color,fit,material,style,price_egp,notes,black,colorful,baggy,fitted,sporty,leather,fur,modern,elegant,edgy
249 Code T-Shirt,balance_249,https://balancestudios.myshopify.com/products/249code-tshirt,https://balancestudios.myshopify.com/cdn/shop/files/818B21B9-614A-4F74-AE12-47D80CECB560.jpg?v=1780964851&width=493,t-shirt,dark red,boxy / oversized,unknown,streetwear,649.0,"Sudanese brand, colourful streetwear t-shirt",0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Frank Ocean White T-Shirt V3,ryfworld,https://rockyourfits.online/products/frank-ocean-white-t-shirt-v3,https://rockyourfits.online/cdn/shop/files/AE7C9C8D-403A-423A-8094-209F3168EE08.png?v=1745329886&width=832,t-shirt,white,boxy,unknown,streetwear,630.0,Frank Ocean graphic t-shirt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
The Lace Shirt,nh_designs,https://nhdesignss.com/product/the-lace-shirt/,https://nhdesignss.com/wp-content/uploads/2026/05/IMG_9834-1024x1536.jpg,shirt,black / brown / white,fitted,unknown,elegant,799.0,Elegant lace shirt available in multiple colours,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Theweeknd white t-shirt,ryfworld,https://rockyourfits.online/products/theweeknd-white-t-shirt?variant=50379689951547,http://rockyourfits.online/cdn/shop/files/9A4A8060-8569-428B-947D-8734AA929857.png?v=1745330368,unknown,unknown,unknown,unknown,streetwear,,Imported from product link,,,,,,,,,,
kanye west white t-shirt,ryfworld,https://rockyourfits.online/products/kanye-west-white-t-shirt?variant=50379661967675,http://rockyourfits.online/cdn/shop/files/0AC6A6AE-0DA5-4709-B91B-095CA987D047.png?v=1745330247,unknown,unknown,unknown,unknown,streetwear,,Imported from product link,,,,,,,,,,
Blond white t-shirt v2,ryfworld,https://rockyourfits.online/products/frank-ocean-white-t-shirt-1?variant=50379656298811,http://rockyourfits.online/cdn/shop/files/9AD03709-4803-409B-8A73-9019DE4AC2D7.png?v=1745330699,unknown,unknown,unknown,unknown,streetwear,,Imported from product link,,,,,,,,,,
frank ocean white t-shirt,ryfworld,https://rockyourfits.online/products/frank-ocean-white-t-shirt?variant=50233400590651,http://rockyourfits.online/cdn/shop/files/E7C9AAE2-B67A-4996-A7A8-2FC480ED9ACC.png?v=1745330769,unknown,unknown,unknown,unknown,streetwear,,Imported from product link,,,,,,,,,,
Grey Minimal Sweatpants,phantom_egy,https://phantomegy.com/products/grey-minimal-sweatpants,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/B61B5556-CB6F-4800-AD31-CB0882319026.jpg?v=1780356464,Sweatpants,grey,relaxed,cotton,streetwear,899.0,Imported directly from Shopify products.json,,,,,,,,,,
Black Minimal Sweatpants,phantom_egy,https://phantomegy.com/products/black-minimal-sweatpants,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/F295A154-2CEA-4C8B-9AC3-137E8C2B30AD.jpg?v=1780356464,Sweatpants,black,relaxed,cotton,streetwear,899.0,Imported directly from Shopify products.json,,,,,,,,,,
Off-White Zip-Up Shirt,phantom_egy,https://phantomegy.com/products/white-zip-up-shirt,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/9BC203F9-73E5-4AE7-A189-1249BDCF07A5.jpg?v=1780356464,Zip Shirt,white,relaxed,cotton,streetwear,799.0,Imported directly from Shopify products.json,,,,,,,,,,
Black Zip-Up Shirt,phantom_egy,https://phantomegy.com/products/black-zip-up-shirt,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/4D119AC4-E241-458A-BEF2-7D1D1364F38F.jpg?v=1780356464,Zip Shirt,black,relaxed,cotton,streetwear,799.0,Imported directly from Shopify products.json,,,,,,,,,,
Off-White Quarter Zip,phantom_egy,https://phantomegy.com/products/white-quarter-zip,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/8E4B1E02-5683-4A3D-83E2-F5EDDBD5515F.jpg?v=1780356464,Quarter Zip,white,oversized,cotton,streetwear,799.0,Imported directly from Shopify products.json,,,,,,,,,,
Black Quarter Zip,phantom_egy,https://phantomegy.com/products/black-quarter-zip,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/09E6C86F-FC8E-4C47-8565-B0CFCCAE5814.jpg?v=1780356464,Quarter Zip,black,oversized,cotton,streetwear,799.0,Imported directly from Shopify products.json,,,,,,,,,,
Black P1 Baby Tee,phantom_egy,https://phantomegy.com/products/black-p1-baby-tee,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/F6A559DB-4C6B-44A9-ADE0-8CBEB301A1B8.jpg?v=1780356464,Baby Tee,black,relaxed,cotton,streetwear,599.0,Imported directly from Shopify products.json,,,,,,,,,,
Pink P1 Baby Tee,phantom_egy,https://phantomegy.com/products/pink-p1-baby-tee,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/B16E50A2-2F70-4339-A5C9-951781359D1F.jpg?v=1780356464,Baby Tee,pink,relaxed,cotton,streetwear,599.0,Imported directly from Shopify products.json,,,,,,,,,,
White Block TEE,phantom_egy,https://phantomegy.com/products/white-block-tee,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/364A8B02-C0C6-4F2B-BE94-FD92E26BBDEE.jpg?v=1780356464,T-Shirt,white,oversized,cotton,streetwear,799.0,Imported directly from Shopify products.json,,,,,,,,,,
Black Block TEE,phantom_egy,https://phantomegy.com/products/black-block-tee,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/7F4A6602-5187-4477-B91A-DA63FE1F1B06.jpg?v=1780356464,T-Shirt,black,oversized,cotton,streetwear,799.0,Imported directly from Shopify products.json,,,,,,,,,,
Off-White CLASPS ZIP,phantom_egy,https://phantomegy.com/products/white-clasps-zip,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/33AB18CD-871C-441A-B448-12274D0F7417.jpg?v=1780356464,Shirt,white,oversized,cotton,streetwear,999.0,Imported directly from Shopify products.json,,,,,,,,,,
Black CLASPS ZIP,phantom_egy,https://phantomegy.com/products/black-clasps-zip,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/B801D9F0-80D1-48C5-A36D-069755DAB679.jpg?v=1780356464,Shirt,black,oversized,cotton,streetwear,999.0,Imported directly from Shopify products.json,,,,,,,,,,
Pink Camo 001,phantom_egy,https://phantomegy.com/products/pink-camo-001,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/D77AC090-EBA2-40DD-B7B6-7C30D4717E7D.jpg?v=1780356464,Jersey,pink,oversized,unknown,streetwear,799.0,Imported directly from Shopify products.json,,,,,,,,,,
Turquoise Zip-Up,phantom_egy,https://phantomegy.com/products/turquoise-zip-up,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/257903BD-4F0D-46FE-A438-0AA7F98FE38C.png?v=1765585309,unknown,red,unknown,fleece,streetwear,499.0,Imported directly from Shopify products.json,,,,,,,,,,
Burgundy Zip-Up,phantom_egy,https://phantomegy.com/products/burgundy-zip-up,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/E7B8B31A-5249-4D32-983D-9025FB08BD8C.png?v=1765585309,unknown,red,unknown,fleece,streetwear,499.0,Imported directly from Shopify products.json,,,,,,,,,,
Mint Zip-Up,phantom_egy,https://phantomegy.com/products/mint-zip-up,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/F2054625-B03A-4FDE-A1A9-FA7D854AEF2B.png?v=1765585309,unknown,red,unknown,fleece,streetwear,499.0,Imported directly from Shopify products.json,,,,,,,,,,
Pink Zip-Up,phantom_egy,https://phantomegy.com/products/pink-zip-up,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/DF51C621-13A0-4565-85EE-59B7C9132013.png?v=1765585309,unknown,red,unknown,fleece,streetwear,499.0,Imported directly from Shopify products.json,,,,,,,,,,
Dark Gray Zip-Up,phantom_egy,https://phantomegy.com/products/dark-gray-zip-up,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/1CF7334A-F347-4E46-9813-2A4C9120A41C.png?v=1765585310,unknown,gray,unknown,fleece,streetwear,499.0,Imported directly from Shopify products.json,,,,,,,,,,
