product_name,store_name,product_url,image_url,category,color,fit,material,style,price_egp,notes
Grey Minimal Sweatpants,phantom_egy,https://phantomegy.com/products/grey-minimal-sweatpants,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/B61B5556-CB6F-4800-AD31-CB0882319026.jpg?v=1780356464,Sweatpants,grey,relaxed,cotton,streetwear,899.0,Imported directly from Shopify products.json
Black Minimal Sweatpants,phantom_egy,https://phantomegy.com/products/black-minimal-sweatpants,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/F295A154-2CEA-4C8B-9AC3-137E8C2B30AD.jpg?v=1780356464,Sweatpants,black,relaxed,cotton,streetwear,899.0,Imported directly from Shopify products.json
Off-White Zip-Up Shirt,phantom_egy,https://phantomegy.com/products/white-zip-up-shirt,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/9BC203F9-73E5-4AE7-A189-1249BDCF07A5.jpg?v=1780356464,Zip Shirt,white,relaxed,cotton,streetwear,799.0,Imported directly from Shopify products.json
Black Zip-Up Shirt,phantom_egy,https://phantomegy.com/products/black-zip-up-shirt,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/4D119AC4-E241-458A-BEF2-7D1D1364F38F.jpg?v=1780356464,Zip Shirt,black,relaxed,cotton,streetwear,799.0,Imported directly from Shopify products.json
Off-White Quarter Zip,phantom_egy,https://phantomegy.com/products/white-quarter-zip,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/8E4B1E02-5683-4A3D-83E2-F5EDDBD5515F.jpg?v=1780356464,Quarter Zip,white,oversized,cotton,streetwear,799.0,Imported directly from Shopify products.json
Black Quarter Zip,phantom_egy,https://phantomegy.com/products/black-quarter-zip,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/09E6C86F-FC8E-4C47-8565-B0CFCCAE5814.jpg?v=1780356464,Quarter Zip,black,oversized,cotton,streetwear,799.0,Imported directly from Shopify products.json
Black P1 Baby Tee,phantom_egy,https://phantomegy.com/products/black-p1-baby-tee,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/F6A559DB-4C6B-44A9-ADE0-8CBEB301A1B8.jpg?v=1780356464,Baby Tee,black,relaxed,cotton,streetwear,599.0,Imported directly from Shopify products.json
Pink P1 Baby Tee,phantom_egy,https://phantomegy.com/products/pink-p1-baby-tee,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/B16E50A2-2F70-4339-A5C9-951781359D1F.jpg?v=1780356464,Baby Tee,pink,relaxed,cotton,streetwear,599.0,Imported directly from Shopify products.json
White Block TEE,phantom_egy,https://phantomegy.com/products/white-block-tee,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/364A8B02-C0C6-4F2B-BE94-FD92E26BBDEE.jpg?v=1780356464,T-Shirt,white,oversized,cotton,streetwear,799.0,Imported directly from Shopify products.json
Black Block TEE,phantom_egy,https://phantomegy.com/products/black-block-tee,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/7F4A6602-5187-4477-B91A-DA63FE1F1B06.jpg?v=1780356464,T-Shirt,black,oversized,cotton,streetwear,799.0,Imported directly from Shopify products.json
Off-White CLASPS ZIP,phantom_egy,https://phantomegy.com/products/white-clasps-zip,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/33AB18CD-871C-441A-B448-12274D0F7417.jpg?v=1780356464,Shirt,white,oversized,cotton,streetwear,999.0,Imported directly from Shopify products.json
Black CLASPS ZIP,phantom_egy,https://phantomegy.com/products/black-clasps-zip,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/B801D9F0-80D1-48C5-A36D-069755DAB679.jpg?v=1780356464,Shirt,black,oversized,cotton,streetwear,999.0,Imported directly from Shopify products.json
Black Camo 001,phantom_egy,https://phantomegy.com/products/black-camo-001,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/F8CC0892-B310-41FE-8D4A-EE2C662EA746.jpg?v=1780356464,Jersey,black,oversized,unknown,streetwear,799.0,Imported directly from Shopify products.json
Pink Camo 001,phantom_egy,https://phantomegy.com/products/pink-camo-001,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/D77AC090-EBA2-40DD-B7B6-7C30D4717E7D.jpg?v=1780356464,Jersey,pink,oversized,unknown,streetwear,799.0,Imported directly from Shopify products.json
Turquoise Zip-Up,phantom_egy,https://phantomegy.com/products/turquoise-zip-up,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/257903BD-4F0D-46FE-A438-0AA7F98FE38C.png?v=1765585309,unknown,red,unknown,fleece,streetwear,499.0,Imported directly from Shopify products.json
Burgundy Zip-Up,phantom_egy,https://phantomegy.com/products/burgundy-zip-up,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/E7B8B31A-5249-4D32-983D-9025FB08BD8C.png?v=1765585309,unknown,red,unknown,fleece,streetwear,499.0,Imported directly from Shopify products.json
Mint Zip-Up,phantom_egy,https://phantomegy.com/products/mint-zip-up,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/F2054625-B03A-4FDE-A1A9-FA7D854AEF2B.png?v=1765585309,unknown,red,unknown,fleece,streetwear,499.0,Imported directly from Shopify products.json
Pink Zip-Up,phantom_egy,https://phantomegy.com/products/pink-zip-up,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/DF51C621-13A0-4565-85EE-59B7C9132013.png?v=1765585309,unknown,red,unknown,fleece,streetwear,499.0,Imported directly from Shopify products.json
Dark Gray Zip-Up,phantom_egy,https://phantomegy.com/products/dark-gray-zip-up,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/1CF7334A-F347-4E46-9813-2A4C9120A41C.png?v=1765585310,unknown,gray,unknown,fleece,streetwear,499.0,Imported directly from Shopify products.json
Dark Green Zip-Up,phantom_egy,https://phantomegy.com/products/dark-green-zip-up,https://cdn.shopify.com/s/files/1/0666/7642/4856/files/1CCB14D6-AF1C-4B2A-9782-24035A296DAB.png?v=1765585309,unknown,green,unknown,fleece,streetwear,499.0,Imported directly from Shopify products.json
