store_name,website_url,instagram_url,main_style,notes
mraythrift,no website,https://www.instagram.com/mraythrift,thrift,Instagram only
balance_249,http://balancestudios.myshopify.com,https://www.instagram.com/balance_249,hoodies and t-shirts,Has Shopify website
aligan,https://aligan.online,unknown,streetwear / casual,Website available
phantom_egy,https://phantomegy.com,https://www.instagram.com/phantom.egyy,streetwear,Streetwear store
kenzzy,https://www.kenzzy.co,https://www.instagram.com/kenzzy.eg,elegant,Elegant clothing
blaze_wear,https://www.blaze-eg.com,https://www.instagram.com/blazewear.eg,sporty,Sportswear
aura_dresses,no website,https://www.instagram.com/aura._dresses,elegant,"Instagram only, dresses"
ryfworld,https://rockyourfits.online,https://www.instagram.com/ryfworld,streetwear,Streetwear / fits
nh_designs,https://nhdesignss.com,https://www.instagram.com/nh.designss_,casual,Casual style
rafeya_fashion,https://rafeyafashion.com,https://www.instagram.com/rafeyfashion,mixed,Elegant summer clothes and swimwear
